arm,arm_label,seed,class_id,class_name,support,precision,class_wise_accuracy_recall,f1,source_result_sha256
training_only_calibration,Training-only calibration,2,6,Heartbleed,2,0.0,0.0,0.0,2eaf007d786c7813f4f86026452486e2e4310f818a571011dce57a2368cf1694
training_only_calibration,Training-only calibration,2,7,SSH-Patator,1179,0.23487544483985764,0.05597964376590331,0.0904109589041096,2eaf007d786c7813f4f86026452486e2e4310f818a571011dce57a2368cf1694
training_only_calibration,Training-only calibration,3,0,Benign,174421,0.9060280606629361,0.8967039519323935,0.9013418931729709,fde2d51be3dc73324229473a8108ba63348fa8544107e9378f81300a521bb366
training_only_calibration,Training-only calibration,3,1,DoS GoldenEye,2059,0.8758109360518999,0.917921321029626,0.8963718283139672,fde2d51be3dc73324229473a8108ba63348fa8544107e9378f81300a521bb366
training_only_calibration,Training-only calibration,3,2,DoS Hulk,46215,0.9679703846772896,0.6506545493887266,0.7782091097308489,fde2d51be3dc73324229473a8108ba63348fa8544107e9378f81300a521bb366
training_only_calibration,Training-only calibration,3,3,DoS Slowhttptest,1100,0.37136929460580914,0.8136363636363636,0.50997150997151,fde2d51be3dc73324229473a8108ba63348fa8544107e9378f81300a521bb366
training_only_calibration,Training-only calibration,3,4,DoS slowloris,1159,0.3318872017353579,0.7920621225194133,0.4677707006369427,fde2d51be3dc73324229473a8108ba63348fa8544107e9378f81300a521bb366
training_only_calibration,Training-only calibration,3,5,FTP-Patator,1588,0.40626579080343606,0.5062972292191436,0.45079899074852814,fde2d51be3dc73324229473a8108ba63348fa8544107e9378f81300a521bb366
training_only_calibration,Training-only calibration,3,6,Heartbleed,2,0.11764705882352941,1.0,0.21052631578947367,fde2d51be3dc73324229473a8108ba63348fa8544107e9378f81300a521bb366
training_only_calibration,Training-only calibration,3,7,SSH-Patator,1179,0.07937695551625629,0.989821882951654,0.1469680750582457,fde2d51be3dc73324229473a8108ba63348fa8544107e9378f81300a521bb366
training_only_calibration,Training-only calibration,4,0,Benign,174421,0.8890706449431831,0.9348186284908354,0.9113708962961514,1689750592f95bffcabbba986b4cb6eb88103891e47e49a9b97b34d83504cdc7
training_only_calibration,Training-only calibration,4,1,DoS GoldenEye,2059,0.8965059708093763,0.9844584749878582,0.938425925925926,1689750592f95bffcabbba986b4cb6eb88103891e47e49a9b97b34d83504cdc7
training_only_calibration,Training-only calibration,4,2,DoS Hulk,46215,0.9551785083068222,0.5847019366006708,0.7253741359640293,1689750592f95bffcabbba986b4cb6eb88103891e47e49a9b97b34d83504cdc7
training_only_calibration,Training-only calibration,4,3,DoS Slowhttptest,1100,0.4838538909475913,0.8309090909090909,0.6115757778521245,1689750592f95bffcabbba986b4cb6eb88103891e47e49a9b97b34d83504cdc7
training_only_calibration,Training-only calibration,4,4,DoS slowloris,1159,0.23477070499657768,0.8878343399482312,0.37134608444604833,1689750592f95bffcabbba986b4cb6eb88103891e47e49a9b97b34d83504cdc7
